CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
12346.0,325,1,77183.6,1,1,4,6
12347.0,1,182,4310.0,4,4,4,12
12348.0,74,31,1797.24,2,2,4,8
12349.0,18,73,1757.55,3,3,4,10
12350.0,309,17,334.4,1,1,2,4
12352.0,35,85,2506.04,3,3,4,10
12353.0,203,4,89.0,1,1,1,3
12354.0,231,58,1079.4,1,3,3,7
12355.0,213,13,459.4,1,1,2,4
12356.0,22,59,2811.43,3,3,4,10
12357.0,32,131,6207.67,3,4,4,11
12358.0,1,19,1168.06,4,2,3,9
12359.0,57,248,6372.58,2,4,4,10
12360.0,51,129,2662.06,2,4,4,10
12361.0,286,10,189.9,1,1,1,3
12362.0,2,266,5226.23,4,4,4,12
12363.0,109,23,552.0,2,2,2,6
12364.0,7,85,1313.1,4,3,3,10
12365.0,290,22,641.38,1,2,2,5
12367.0,3,11,168.9,4,1,1,6
12370.0,50,167,3545.69,3,4,4,11
12371.0,44,63,1887.96,3,3,4,10
12372.0,71,52,1298.04,2,3,3,8
12373.0,310,14,364.6,1,1,2,4
12374.0,24,33,742.9300000000001,3,2,3,8
12375.0,10,17,457.5,4,1,2,7
12377.0,314,77,1628.12,1,3,3,7
12378.0,129,219,4008.62,2,4,4,10
12379.0,81,40,852.24,2,2,3,7
12380.0,21,104,2724.81,3,4,4,11
12381.0,4,87,1845.31,4,3,4,11
12383.0,184,99,1850.56,1,3,4,8
12384.0,28,27,585.27,3,2,2,7
12386.0,337,10,401.9,1,1,2,4
12388.0,15,100,2780.66,4,3,4,11
12390.0,79,32,549.84,2,2,2,6
12391.0,21,100,460.89,3,3,2,8
12393.0,71,64,1582.6000000000001,2,3,3,8
12394.0,63,27,1272.48,2,2,3,7
12395.0,18,156,3018.63,3,4,4,11
12397.0,35,126,2409.9,3,4,4,11
12398.0,45,85,1635.6599999999999,3,3,3,9
12399.0,118,59,1108.65,2,3,3,8
12401.0,302,5,84.3,1,1,1,3
12402.0,322,11,225.6,1,1,1,3
12403.0,49,5,427.7,3,1,2,6
12405.0,148,54,1710.39,1,3,4,8
12406.0,21,105,3415.3,3,4,4,11
12407.0,49,77,1708.1200000000001,3,3,4,10
12408.0,32,105,2888.55,3,4,4,11
12409.0,78,109,11072.67,2,4,4,10
12410.0,308,26,693.3299999999999,1,2,3,6
12412.0,74,61,1226.88,2,3,3,8
12413.0,66,38,758.1,2,2,3,7
12414.0,216,18,562.41,1,2,2,5
12415.0,23,716,124914.53,3,4,4,11
12417.0,2,192,3649.1,4,4,4,12
12418.0,112,34,668.58,2,2,2,6
12420.0,63,29,600.39,2,2,2,6
